date,amount,category,description
2026-03-01,45.50,Food,Grocery shopping at Whole Foods
2026-03-02,12.00,Transport,Uber ride to office
2026-03-03,9.99,Entertainment,Netflix subscription
2026-03-04,85.00,Food,Weekly groceries
2026-03-05,30.00,Transport,Monthly bus pass top-up
2026-03-07,200.00,Shopping,New running shoes
2026-03-08,15.75,Food,Lunch at cafe
2026-03-10,60.00,Utilities,Electricity bill
2026-03-11,8.50,Food,Coffee and snacks
2026-03-12,25.00,Entertainment,Movie tickets
2026-03-13,45.00,Health,Gym membership
2026-03-14,18.00,Food,Dinner with friend
2026-03-15,120.00,Shopping,Clothing
2026-03-16,5.99,Entertainment,Spotify subscription
2026-03-17,35.00,Transport,Fuel
2026-03-18,22.50,Food,Brunch
2026-03-19,90.00,Utilities,Internet bill
2026-03-20,14.00,Food,Takeout dinner
2026-03-21,50.00,Health,Pharmacy
2026-03-22,11.00,Transport,Parking fee
2026-03-24,70.00,Food,Groceries
2026-03-25,40.00,Entertainment,Concert ticket
2026-03-26,16.00,Food,Lunch
2026-03-27,55.00,Shopping,Books
2026-03-28,28.00,Transport,Taxi
2026-03-29,100.00,Health,Doctor visit copay
2026-03-30,33.00,Food,Dinner out
2026-04-01,80.00,Utilities,Water bill
2026-04-02,42.00,Food,Groceries
2026-04-03,13.50,Transport,Subway card reload
